gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
VTA1,63.5747794161776,-0.0608400478053087,0.112011714046002,0.135316432793468,0.57965829442248
BAZ1B,179.072209301196,-0.0380936097066247,0.0887014987407229,0.269803991931627,0.728648459625015
RANBP9,132.187891455315,-0.0349636184071285,0.083277459119894,0.294503228685858,0.750597409119884
SPRTN,14.7132767876338,-0.0226995375252702,0.113266108812526,0.49498603149592,0.866091552564922
DYRK4,14.8834874555273,0.000657783758136198,0.0903151539169765,0.982808633831207,0.996437977307303
ZNF207,196.111507909404,-0.0367569720504489,0.10003812222892,0.294994987230852,0.75095326898045
UQCRC1,19.5791834870385,-0.00553974641297803,0.0897812842366156,0.856447273141718,0.975091963159812
STARD3NL,47.7318018962302,-0.126293750881968,0.154675594687318,0.0291929857173551,0.295129762859264
CD9,36.0747650530416,0.0507626855999254,0.130092645635769,0.196945598828656,0.659418522746603
NCAPD2,32.3229894129355,-0.0151481800530203,0.0891677751609992,0.628517153753598,0.913968767872677
IFFO1,31.0731190178493,0.0599627790533508,0.16508627598418,0.168599098159789,0.620394366105659
PHF7,12.7014181437417,0.00660751983407487,0.0990263948553389,0.831146495249782,0.966700667662594
NISCH,51.4723759439694,-0.0178763007994258,0.0888097456770752,0.571495458683127,0.896372894666578
FUZ,7.67930418353707,0.000453421713723592,0.111180463262531,0.988518434524538,0.997587410988066
IDS,49.8974296385632,-0.0903347856429744,0.156415810031609,0.0696384549481285,0.438620667109695
ZNF200,11.9898001782207,-0.0132397585036038,0.0977951986273083,0.673574578501162,0.928537042092205
LRRC23,22.1710896922055,0.00187614697640081,0.0941092939716358,0.951207004644059,0.990678820337242
SCMH1,300.42609450438,0.0297034492690747,0.0696696089644591,0.319525622752146,0.769568085469684
FYN,1041.34326172269,0.0680070407427849,0.128606219388695,0.115021484823137,0.543567697345477
HIVEP2,177.626640109589,-0.0631764933360097,0.105704060581601,0.122000675146032,0.559609919640671
ELOA,29.3365466660973,-0.0410053582454454,0.095739240241569,0.250128762481061,0.714426177074329
LYPLA2,4.05555133569095,-0.0252546930348777,0.128935419866853,0.466532512039601,0.858924679521927
CLCN6,56.3989175116062,0.0081470300816563,0.0815907987792783,0.788316954047936,0.955608156812734
MRC2,64.9043897140964,-0.123752659204417,0.255126099219007,0.0562695679455532,0.397801957350933
TSPAN9,40.0986392917837,-0.0741189601783018,0.143734398998761,0.101942145957526,0.517479394593877
BTBD7,106.671968976332,0.00285203535935713,0.0560145468279605,0.910109057881221,0.987715820644209
MKS1,14.8905193775274,-0.0215742383222139,0.122816923642381,0.522680723858892,0.879104488595525
ABHD5,32.8003546243076,-0.00401215698309733,0.0948786764131124,0.896136584732166,0.984204503987311
ANOS1,31.4849880977516,-0.0186431440931964,0.115343883749928,0.570705122976978,0.896193989990221
AKAP8L,92.1812573697531,0.0183060620295164,0.0853226505855933,0.560379415451685,0.892521623699651
MBTD1,139.474596410648,-0.00421482433561862,0.0716075165930194,0.884795400000141,0.979656186720999
UTP18,30.5936051604584,-0.106168915175581,0.177146685105483,0.0524795199734905,0.386891263055318
RNF216,297.42535587086,0.00460560080353035,0.0709139392365377,0.873745425339106,0.977495971973977
TTC19,95.3448283454154,-0.0219545545551477,0.07424234221439,0.470830838359766,0.860033783048993
PTBP1,24.1304425649794,-0.113736611768526,0.19341516137833,0.0483810630164668,0.374492540714936
DPF1,31.5691641764294,0.134148343908848,0.207396935934222,0.0341141111652229,0.320274369093706
LARS2,87.6718752585108,-0.00944294410525236,0.0682816885478541,0.741401970015676,0.944578679307229
PIK3C2A,158.344569850203,-0.0142096663702936,0.0612173949411377,0.5970853046908,0.90604426389258
PLAUR,9.42943744602934,-0.31931686172034,0.433189480561785,0.011319432442457,0.175240747158531
ANLN,44.2337411007087,0.000329299978446512,0.13271789033115,0.992168425777444,0.998581333423281
WIZ,10.370180723828,-0.21180303309151,0.369672831778114,0.0258313963919326,0.277525486325512
RABGAP1,223.587993563122,-0.0141078722340392,0.0578975449160137,0.584217746013003,0.900919984347385
QPCTL,15.1630401415477,-0.0171689503506469,0.11037544469949,0.596284683504031,0.905796700267747
PPP5C,52.8530737519441,-0.014009139815023,0.0693712958726036,0.629099250028382,0.914290910041248
CEP68,46.0624181520796,0.0324903471987476,0.0931050119273221,0.338713976858501,0.783947996651704
MAP4K3,260.817191583244,0.139661839232527,0.105841598195348,0.0127257153854353,0.186120933843816
GABRA3,21.1441274465607,1.24344574111141,0.773890169011104,0.000339319607769689,0.0209713510162813
BRCA1,86.8923632752517,-0.0113519148154489,0.0783439263766345,0.707421961855699,0.937441800044551
ERCC1,35.5997238636954,0.0109359024138649,0.096648782585657,0.725834627470276,0.941841114808616
SEMA3B,17.1429000872709,-3.17584396725149e-05,0.108467730639151,0.99919091031149,0.999671323577553
MBTPS2,37.522788588922,0.0193264662293149,0.0830954083256261,0.537961660086139,0.885954066717302
EXTL3,61.0659302012301,-0.0894511935303754,0.152115316384504,0.069845489394656,0.438620667109695
ELOVL5,118.904162778989,0.017631988219235,0.124399219569923,0.598255537814143,0.906493605256107
KDM5D,44.5085065490072,0.0178331099331833,0.0923863191302561,0.574243239708178,0.896725682563763
CALCOCO1,39.1769359754885,-0.13880199343791,0.198715702678122,0.0293725755180454,0.295437450869842
UBR7,26.37712746274,0.00643622212349012,0.0992353690097697,0.83545935959858,0.967654339411416
MAP4K5,282.49689366977,0.00865553052711432,0.0766419511668437,0.772308026762349,0.951348518211999
EHD3,10.9887841932709,-0.0486176952005091,0.147297781423089,0.223757649427858,0.693243983627911
PSMC4,18.4274916729036,-0.00747692990576113,0.102696219481713,0.810548437942352,0.961098668398297
MAN2B2,17.8902037291594,-0.00312665376747052,0.0915140660011076,0.918619359080021,0.988329055564298
SLC7A14,13.1494633050143,0.0380460776628325,0.205970988014304,0.378985754055944,0.812680316173921
CLDN11,21.0872797571509,0.0621162788621827,0.220478570564778,0.201395557550947,0.664849321320446
SLC25A39,9.8709823516603,-0.108113797571943,0.219851156458075,0.063966170959789,0.421172097642982
MVP,16.09983011623,-0.247675111303028,0.390597554889305,0.0187545341654728,0.232119440018151
NUB1,49.4659247773992,-0.097117231075581,0.12619133253109,0.050640067288519,0.382246295022883
PGM3,48.2695855644823,-0.00753095898651298,0.0755827381947678,0.80009061687102,0.959414781255464
RWDD2A,8.34992812354532,0.0194881689166369,0.115951374279379,0.555021092654071,0.891471010821218
CLK1,75.4347376524839,-0.0262013941300769,0.0815021993808561,0.412872776888437,0.831850881346389
POLR3B,42.3525348140217,0.0349529479781581,0.0843563066277363,0.296891613045213,0.75146423698004
ANGEL1,47.593187292599,0.807807797159099,0.508011553020256,0.000874024374782773,0.0378323186052182
RNF14,31.2151363162011,-0.0117535358958907,0.0843507732578206,0.702362613870096,0.936414051737703
DDX11,26.4724117715363,-0.00934069840001759,0.0913742592834558,0.762353246070557,0.949834566098088
MAMLD1,138.361328468565,0.0169766512242009,0.0917997612487989,0.59131800228516,0.902996055895955
TACC3,19.7905449889971,-0.0228383898580446,0.107956696361075,0.489097666610652,0.863952471975032
UFL1,50.9849080784983,0.0131228051044588,0.0777100143683373,0.664876422721337,0.927011151173231
POLA2,27.1300058285113,-0.0201866747631853,0.0927116078135257,0.528821746248615,0.881369577081024
ZC3H3,33.2880174246027,-0.000902561067505277,0.0831917406613386,0.976179454486128,0.995948915868675
CAPN1,16.1928328203603,-0.0813060422418956,0.167703926765284,0.0930380690044523,0.499564015836714
MDH1,33.5873496215295,0.020741950420111,0.0864544503458985,0.514215831346688,0.874978847779214
SLC30A9,148.313732072357,0.00659602047455164,0.0561797031845893,0.794242843910802,0.95886312307694
COX15,18.3942751021014,-0.0703216181862793,0.148391677471849,0.115711784486443,0.544499331237227
CCDC88C,18.6398343609917,-0.0541876066583589,0.177831440436113,0.212542262316406,0.680086162498547
YAF2,171.353706806817,0.0757156098212806,0.113278473191065,0.086044705763134,0.484016002994829
ZMYND11,94.3030100152777,0.00379914001345265,0.0763497447246439,0.898265269673228,0.984929180007499
BID,18.7864605971572,-0.0247353831780652,0.106242675553447,0.456605958313549,0.854111080108242
MATR3,116.992604013037,-0.00997245450230024,0.082308633207596,0.743692510449869,0.945306214119488
XYLT2,13.6741183306703,-0.0292797030826924,0.139083312909224,0.416859869975558,0.834276388083282
